"ward","num_crimes"
1,1.7609373398400914
2,3.461405853614064
3,2.7965635775180884
4,1.6656882352244888
5,2.174648879110451
6,2.957280701025351
7,2.4458015720887385
8,2.4631665265129734
9,2.282754849909624
10,1.571761335260478
11,1.265563922802389
12,1.1090526693297127
13,1.1849724011815725
14,1.269857939813748
15,2.6102964231719765
16,2.659935763520298
17,3.074616919535158
18,1.5735242747959335
19,0.8167950716269741
20,3.062780039797101
21,2.7557011575712838
22,1.0550941271195255
23,1.2067447044444461
24,3.47912339594539
25,1.2324458443863346
26,1.5911536701504871
27,3.2576226357406775
28,4.183493294911325
29,2.130789461953372
30,1.3045752562369652
31,1.294891681217214
32,1.5770123765910844
33,0.9160989371741238
34,2.61913630569976
35,1.224638540729318
36,0.9619857347969761
37,2.483780326652548
38,0.9859994897549288
39,0.8619011388841248
40,0.946774085091047
41,0.9388534496067511
42,3.393696383027325
43,1.143014440237735
44,1.2294866244518203
45,0.924838080299881
46,1.2150557051115929
47,0.9493681246932171
48,0.8968451189619006
49,1.2832940575589684
50,0.9316631747871439
